"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0U760","2019-08-27 00:00:00","22.000","0.000","0.000","24.800","0.990","1010.900","-99.000","0.000","-99.000","-99.000","-99.000","32.500","","24.800",""
"C0R420","2019-08-27 00:00:00","504.000","108.000","3.100","23.800","-99.000","951.400","-99.000","15.500","-99.000","-99.000","-99.000","29.100","","22.800",""
"C0K330","2019-08-27 00:00:00","38.000","132.000","0.900","27.500","0.890","1005.900","-99.000","0.000","-99.000","-99.000","-99.000","32.800","","25.100",""
"C0M660","2019-08-27 00:00:00","40.000","176.000","0.400","27.000","0.940","1006.600","-99.000","11.500","-99.000","-99.000","-99.000","31.600","","25.000",""
"C0D580","2019-08-27 00:00:00","120.000","0.000","0.000","25.200","0.990","996.800","-99.000","3.500","-99.000","-99.000","-99.000","30.100","","23.400",""
"C0R640","2019-08-27 00:00:00","21.000","26.000","1.700","28.400","0.870","-99.000","-99.000","0.000","-99.000","-99.000","-99.000","31.200","","28.000",""
"C0G830","2019-08-27 00:00:00","27.000","126.000","0.700","27.800","1.000","1006.100","-99.000","0.000","-99.000","-99.000","-99.000","32.100","","25.400",""
"C0A550","2019-08-27 00:00:00","422.000","0.000","0.100","24.900","1.000","965.900","-99.000","0.000","-99.000","-99.000","-99.000","29.800","","24.300",""
"C0G750","2019-08-27 00:00:00","31.000","114.000","0.300","27.100","0.920","1008.000","-99.000","0.500","-99.000","-99.000","-99.000","32.800","","25.300",""
"C0Z270","2019-08-27 00:00:00","343.000","137.000","0.700","24.800","0.960","974.500","-99.000","0.000","-99.000","-99.000","-99.000","28.300","","23.600",""
"C0UA30","2019-08-27 00:00:00","1397.000","151.000","0.300","18.800","0.990","862.300","-99.000","0.500","-99.000","-99.000","-99.000","24.300","","18.200",""
"C0I080","2019-08-27 00:00:00","536.000","0.000","0.000","23.900","0.940","954.600","-99.000","0.500","-99.000","-99.000","-99.000","31.400","","21.400",""
"C0UA00","2019-08-27 00:00:00","392.000","0.000","0.200","25.000","0.990","968.800","-99.000","0.000","-99.000","-99.000","-99.000","33.300","","22.500",""
